id,v19,weight,정보부족,evidence
PPS-D-000035,0,4.1033,False,
PPS-D-000079,0,4.1033,False,
PPS-D-000099,0,4.1033,False,
PPS-D-000368,0,4.1033,False,
PPS-D-000415,0,4.1033,False,
PPS-D-000452,0,4.1033,True,
PPS-D-000493,0,4.1033,False,
PPS-D-000536,0,4.1033,False,
PPS-D-000589,0,4.1033,False,
PPS-D-000682,0,4.1033,False,
PPS-D-000741,0,4.1033,False,
PPS-D-000767,0,4.1033,False,
PPS-D-000789,0,4.1033,False,
PPS-D-000796,0,4.1033,False,
PPS-D-000815,0,4.1033,False,
PPS-D-000835,0,4.1033,False,
PPS-D-000933,0,4.1033,False,
PPS-D-001072,0,4.1033,False,
PPS-D-001254,0,4.1033,False,
PPS-D-001388,0,4.1033,False,
PPS-D-001442,0,4.1033,False,
PPS-D-001480,0,4.1033,False,
PPS-D-001566,1,4.1033,False,전자입찰서 제출 마감일 전일까지
PPS-D-001586,0,4.1033,False,
PPS-D-001827,0,4.1033,False,
PPS-D-001844,0,4.1033,False,
PPS-D-001991,0,4.1033,False,
PPS-D-002011,0,4.1033,False,
PPS-D-002013,0,4.1033,False,
PPS-D-002028,0,4.1033,False,
PPS-D-002055,0,4.1033,False,
PPS-D-002079,0,4.1033,False,
PPS-D-002188,0,4.1033,False,
PPS-D-002242,0,4.1033,False,
PPS-D-002499,0,4.1033,False,
PPS-D-002656,1,4.1033,False,전자입찰서 제출 마감일 전일까지
PPS-D-002773,0,4.1033,False,
PPS-D-002794,0,4.1033,False,
PPS-D-002804,0,4.1033,False,
PPS-D-002841,0,4.1033,False,
PPS-D-002842,0,4.1033,False,
PPS-D-002862,0,4.1033,False,
PPS-D-002924,0,4.1033,False,
PPS-D-003106,0,4.1033,False,
PPS-D-003140,0,4.1033,True,
PPS-D-003154,0,4.1033,False,
PPS-D-003257,0,4.1033,False,
PPS-D-003368,0,4.1033,False,
PPS-D-003487,0,4.1033,False,
PPS-D-003569,0,4.1033,False,
PPS-D-003716,1,4.1033,False,전자입찰서 제출마감일 전일까지
PPS-D-003842,0,4.1033,False,
PPS-D-003892,0,4.1033,False,
PPS-D-003943,0,4.1033,False,
PPS-D-003947,0,4.1033,False,
PPS-D-004085,0,4.1033,False,
PPS-D-004127,0,4.1033,False,
PPS-D-004144,0,4.1033,False,
PPS-D-004239,0,4.1033,False,
PPS-D-004395,0,4.1033,False,
PPS-D-004432,0,4.1033,False,
PPS-D-004447,0,4.1033,False,
PPS-D-004551,0,4.1033,False,
PPS-D-004625,0,4.1033,False,
PPS-D-004628,0,4.1033,False,
PPS-D-004706,0,4.1033,True,
PPS-D-004834,0,4.1033,False,
PPS-D-005032,0,4.1033,False,
PPS-D-005166,0,4.1033,False,
PPS-D-005525,0,4.1033,False,
PPS-D-005761,0,4.1033,False,
PPS-D-005793,0,4.1033,False,
PPS-D-005880,0,4.1033,False,
PPS-D-005911,0,4.1033,False,
